mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2469640254974366,0.01830787348689601,0.20386052131652832,0.011111632956490125,True,,sqrt,1,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.275911069828764,0.2762522835076442,0.4272659976385039,0.3507540974172686,0.40791436902078515,0.34761956348259315,0.06359911959257275,77
2.1114256381988525,0.04288595973918723,0.2474060535430908,0.02265880936260617,True,,sqrt,1,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.28153656297806373,0.2574236848853535,0.42940001929806326,0.34533589227331263,0.40669752038754503,0.3440787359644676,0.06726519943282047,89
3.6678679466247557,0.202646945047655,0.3306870460510254,0.03468108418335896,True,,sqrt,1,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.2745699087476098,0.26160339115713915,0.42825625709182724,0.34927641977804935,0.40976578654632345,0.3446943526641898,0.06791085956879381,86
1.4741586685180663,0.05454376701165984,0.1799163818359375,0.026470113190050135,True,,sqrt,1,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.29209397723268404,0.2734483730724384,0.4288388760597085,0.35627988270360256,0.4194925333175481,0.3540307284771963,0.06358654368609871,22
2.535092353820801,0.11656699381650663,0.23940882682800294,0.03411010487422322,True,,sqrt,1,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.2864319897815879,0.27241855303876417,0.42417196983585403,0.3612304937628861,0.41847184106194146,0.35254496949620673,0.06378618440531604,35
3.4062960147857666,0.14974333532222736,0.29348082542419435,0.01649019647530393,True,,sqrt,1,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1200}",0.27302968944650596,0.27771376509042345,0.4233256407841437,0.35844491312159,0.41436628790041496,0.3493760592686156,0.06440305447110097,67
1.548511028289795,0.13747254304858567,0.17306370735168458,0.01921985125035623,True,,sqrt,2,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.28898709816624035,0.2731286506638907,0.4248876389872258,0.34955851914117686,0.415505581260191,0.35041349764374496,0.06249841308719524,55
2.3100537776947023,0.103179656026665,0.2118579387664795,0.024612694035246994,True,,sqrt,2,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.2914863525454484,0.26811722767088975,0.4253623038351452,0.35649485470852427,0.41436703478629033,0.35116555470925953,0.06322439070175395,44
3.5048819541931153,0.06923021236443899,0.2860258102416992,0.009149620818758806,True,,sqrt,2,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1200}",0.27708873028279823,0.2768704917036108,0.42715510298974646,0.3549392955722268,0.4119147279739017,0.34959366970445677,0.0639904568073885,62
1.4151448726654052,0.05330345557583233,0.15485711097717286,0.010620370951029244,True,,sqrt,2,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.29726681551984724,0.29437531819381946,0.42332723892473256,0.3472413785480487,0.4149514047287538,0.35543243118304035,0.05537240533974061,4
2.4609004974365236,0.252386623531349,0.2367177963256836,0.02058965194398089,True,,sqrt,2,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.29054521652297993,0.28908123366702654,0.42229140407945764,0.35516581569284544,0.4132470088740676,0.35406613576727547,0.057299593290894194,13
3.3539412021636963,0.1022537375021714,0.305180025100708,0.030542026603981507,True,,sqrt,2,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1200}",0.28174032497119794,0.29024444092506696,0.4244714565184077,0.35582936445055313,0.4119771949378971,0.3528525563606245,0.05934741225139194,27
1.5705857753753663,0.12109559501120291,0.19939613342285156,0.04120496228033683,True,,log2,1,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.275911069828764,0.2762522835076443,0.4272659976385039,0.3507540974172685,0.40791436902078515,0.34761956348259315,0.06359911959257272,77
2.442289400100708,0.1249383277392662,0.2363534927368164,0.02403801116270681,True,,log2,1,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.28153656297806395,0.25742368488535305,0.4294000192980634,0.34533589227331263,0.40669752038754503,0.3440787359644676,0.06726519943282058,89
