mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.08458514213562,0.007075510359932132,0.13586711883544922,0.004195422716133053,True,,sqrt,1,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.4460830588160697,0.2826150415266554,0.4592567548633687,0.33920742600627285,0.5720355243904057,0.41983956112055454,0.10073545310401412,30
1.8117873668670654,0.027057051928960154,0.18046321868896484,0.008040517867984528,True,,sqrt,1,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.44977525850001454,0.28191100967589544,0.45246347914927576,0.33815235374655284,0.5745911995500672,0.41937866012436126,0.10159188806720901,35
3.026360034942627,0.11780173732941891,0.270124626159668,0.009578202754832666,True,,sqrt,1,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.45093208589105804,0.2772431472959872,0.4471246432796834,0.33229214260456263,0.5756735034281609,0.4166531044998904,0.10386814581538444,60
1.2394657135009766,0.05729555158547772,0.13458023071289063,0.004281312203180249,True,,sqrt,1,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.45308234865692076,0.29554914691353074,0.4600250798317418,0.3185959982830263,0.5791454688029275,0.42127960849762947,0.10371723912381091,11
2.062189817428589,0.08850814356473793,0.17812066078186034,0.009607659592025832,True,,sqrt,1,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.4463259556088556,0.29552414849844677,0.45192694026990854,0.3361620705797176,0.5747171679143601,0.4209312565742577,0.09815140072728412,20
2.9243055820465087,0.07594091364210943,0.25680742263793943,0.0030001461583039233,True,,sqrt,1,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1200}",0.44833980175988186,0.29598501517719533,0.4505036317195352,0.32843900077618404,0.573400762657184,0.4193336424179961,0.09902153581217044,40
1.2644986629486084,0.07884486027418822,0.11839313507080078,0.004574093677866263,True,,sqrt,2,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.4452380793872165,0.2910125213058419,0.44908864341080434,0.30895014172438784,0.56083873634442,0.41102562443453416,0.09988573780143863,93
1.974449920654297,0.04598043954836531,0.1835960865020752,0.00726526741849791,True,,sqrt,2,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.4417260609982603,0.29849447137790497,0.4484298671137934,0.32497904136451994,0.5677239616767897,0.41627068050625365,0.09677363780534647,65
2.9528058052062987,0.07652840718136568,0.2603564739227295,0.003785202872598455,True,,sqrt,2,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1200}",0.44139911722896696,0.29432392043670763,0.4506525237192349,0.31956011433572384,0.5684895663924043,0.41488504842260754,0.09919524657401493,84
1.3443912982940673,0.14150343318867978,0.13539915084838866,0.00915982614185879,True,,sqrt,2,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.43205187855298055,0.29341681734156755,0.44660112765222226,0.325549288084385,0.580741059633107,0.4156720342528525,0.10152944272156902,74
2.172509288787842,0.06508210244204982,0.17771849632263184,0.017730406566270136,True,,sqrt,2,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.43355982499834567,0.300001688937775,0.4457439093936073,0.33455058112159475,0.5826267353041397,0.41929654795109245,0.09898767234464384,44
2.8355597496032714,0.07015493606162476,0.24868245124816896,0.010920011823198681,True,,sqrt,2,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1200}",0.4362023931191361,0.30168699185716097,0.45134875998368706,0.32521381600737953,0.5812890762614976,0.41914820744577225,0.1002379062386104,51
1.266080904006958,0.10548215703046825,0.13902854919433594,0.012778514916453798,True,,log2,1,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.4460830588160696,0.28261504152665584,0.4592567548633688,0.33920742600627296,0.5720355243904056,0.41983956112055465,0.10073545310401394,29
2.0085378170013426,0.0674970644352727,0.19125962257385254,0.0046767112590625675,True,,log2,1,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.44977525850001465,0.2819110096758952,0.4524634791492761,0.3381523537465527,0.5745911995500674,0.41937866012436126,0.10159188806720919,35
