mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6446314811706543,0.013408412332964562,0.032361412048339845,0.001167308569290252,10,sqrt,1,2,300,8,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 8}",-0.027194828001204208,0.05862969285504016,0.34448889358668144,0.47073931313244,0.30924213543933365,0.2311810414024582,0.18593139976815237,332
0.669538927078247,0.014382489356847557,0.032153892517089847,0.0032534694643536477,10,sqrt,1,2,300,9,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 9}",-0.03517372117133988,0.10037623104125959,0.3445545800422729,0.4980038002430245,0.3243622838184238,0.24642463479472818,0.18953818090243277,311
0.6831490993499756,0.015099858785253292,0.0349851131439209,0.006241101854464394,10,sqrt,1,2,300,10,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 10}",-0.05240055490073514,0.18107843718202554,0.3973713903497649,0.49682021382895813,0.34674679368310224,0.2739232560286231,0.1925269608479007,288
0.6916229724884033,0.007841549712625935,0.032018184661865234,0.0016616844181280594,10,sqrt,1,2,300,11,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 11}",0.02175458107648154,0.1944952026678718,0.4257639508782758,0.5155006948287005,0.3580364680075404,0.303110179491774,0.17557264124038166,264
0.7107858180999755,0.024948926574773864,0.030922555923461915,0.0016044021506182898,10,sqrt,1,2,300,12,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 12}",-0.0007361080595231773,0.18773583374513458,0.46263044268033926,0.4904253037499907,0.4255958992758603,0.3131302742783603,0.19008851428329684,252
0.7002349376678467,0.010719155657007526,0.033012771606445314,0.004183207542239924,10,sqrt,1,2,300,13,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 13}",0.0775556789872126,0.21090299340347107,0.4693899041675339,0.5467332625112803,0.41404406720371745,0.3437251812546431,0.17345696116573567,1
0.7036919593811035,0.01254001785221581,0.02999267578125,0.002703920334821107,10,sqrt,1,2,300,14,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 14}",0.0230308764275583,0.2358715551544538,0.47055270302107155,0.5092672970083969,0.3273967248143399,0.31322383128516407,0.17526072630058875,249
0.7143153190612793,0.006826169050214108,0.031517648696899415,0.0038408506600857515,10,sqrt,1,2,300,15,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 15}",0.04121509166724213,0.27475447018807686,0.45332277229973184,0.5186211565077672,0.3461679504844921,0.326816288229462,0.16579864970177427,103
0.7308212757110596,0.018334102771374303,0.030049514770507813,0.0009998789194726743,10,sqrt,1,2,300,16,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 16}",-0.005337351638537768,0.24747113260149456,0.43716964837571515,0.5294103058561072,0.36584278322132013,0.31491130368321985,0.1847475673988589,241
0.7367911815643311,0.02428786804841412,0.031658077239990236,0.0022086974437649353,10,sqrt,1,2,300,17,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 17}",0.0412990565838286,0.28172754264190836,0.4503317281918089,0.5155470110613639,0.3547848131978202,0.328738030335346,0.16443369917403655,69
0.7233985900878906,0.014198531681482178,0.029852962493896483,0.0010820000059191,10,sqrt,1,2,300,18,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 18}",0.041746360895811296,0.22980570057043437,0.4237086285683065,0.5101375570707671,0.34029774246304634,0.30913919791367317,0.16265920374327225,260
0.7352010250091553,0.012367234697200333,0.030259037017822267,0.002817894612087951,10,sqrt,1,2,300,19,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 19}",0.08375838946978986,0.2620594317435496,0.432766669919883,0.5100880195373867,0.32591285062238184,0.3229170722585982,0.14697578049592172,160
0.750245475769043,0.008830978658633026,0.03097057342529297,0.0017816479475757313,10,sqrt,1,2,300,20,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 20}",0.062171116990648034,0.2554687494154003,0.43138208132913514,0.5279185940166871,0.390201110232388,0.3334283303968517,0.16143278513769954,20
