mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8611605167388916,0.028993263452220683,0.04302334785461426,0.007847812520773836,,sqrt,1,2,300,8,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 8}",0.8487394957983193,0.927601809954751,0.7737556561085973,0.7217194570135747,0.84375,0.8231132837750484,0.07030976093916547,321
0.835011339187622,0.026730511652674687,0.040886449813842776,0.003978790039176873,,sqrt,1,2,300,9,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 9}",0.8382352941176471,0.9321266968325791,0.7963800904977375,0.7194570135746606,0.8571428571428571,0.8286683904330963,0.07010791854219459,286
0.8229873657226563,0.03212186747215534,0.03971619606018066,0.007096130837802056,,sqrt,1,2,300,10,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 10}",0.8319327731092436,0.923076923076923,0.8009049773755657,0.6923076923076923,0.8660714285714286,0.8228587588881707,0.07683606249230372,323
0.8078216075897217,0.023021292122689812,0.03606290817260742,0.002603440590574773,,sqrt,1,2,300,11,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 11}",0.8382352941176471,0.9411764705882353,0.8054298642533937,0.7058823529411765,0.8705357142857143,0.8322519392372334,0.0775302489931489,264
0.8182183742523194,0.023152471332099463,0.036542224884033206,0.0025038225008886927,,sqrt,1,2,300,12,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 12}",0.8361344537815125,0.9366515837104072,0.828054298642534,0.7081447963800905,0.8794642857142857,0.8376898836457661,0.07538661982468102,203
0.843952989578247,0.02433083855500544,0.03671417236328125,0.006753011953381883,,sqrt,1,2,300,13,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 13}",0.8382352941176471,0.9366515837104072,0.8122171945701357,0.7285067873303168,0.8571428571428571,0.8345507433742727,0.06736864126831892,251
0.8408272743225098,0.037293083754635824,0.03404912948608398,0.0013621223846305112,,sqrt,1,2,300,14,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 14}",0.846638655462185,0.9547511312217194,0.8371040723981901,0.748868778280543,0.8638392857142857,0.8502403846153846,0.0656797746490926,55
0.8351594924926757,0.04807544762364634,0.03394813537597656,0.003706343336390448,,sqrt,1,2,300,15,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 15}",0.8361344537815126,0.923076923076923,0.834841628959276,0.7285067873303168,0.8928571428571428,0.8430833872010343,0.06651376402904909,159
0.872864055633545,0.03363095499527989,0.040999412536621094,0.004369393777705945,,sqrt,1,2,300,16,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 16}",0.8277310924369747,0.9457013574660633,0.8325791855203619,0.7194570135746606,0.9017857142857142,0.845450872656755,0.07691280459459846,131
0.8536533832550048,0.03944997884182937,0.03743014335632324,0.006391160466689955,,sqrt,1,2,300,17,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 17}",0.8340336134453782,0.9502262443438915,0.8212669683257918,0.744343891402715,0.8973214285714286,0.849438429217841,0.07003822776359969,69
0.8558752536773682,0.03900943611307817,0.0372581958770752,0.0031463927059446157,,sqrt,1,2,300,18,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 18}",0.8403361344537815,0.9321266968325792,0.8144796380090498,0.7149321266968326,0.8883928571428572,0.83805349062702,0.07362557598162849,199
0.896264123916626,0.05639758408295626,0.03240261077880859,0.0017978123061783836,,sqrt,1,2,300,19,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 19}",0.8403361344537815,0.9343891402714932,0.8099547511312217,0.7375565610859729,0.875,0.8394473173884938,0.06562053131960478,188
0.8721835613250732,0.027991444033499194,0.03614330291748047,0.0034943649424612755,,sqrt,1,2,300,20,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300, 'select__k': 20}",0.8508403361344539,0.9457013574660633,0.8054298642533937,0.751131221719457,0.8839285714285714,0.847406270200388,0.06639051000352517,105
