mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.149460506439209,0.12102966020170479,0.15508389472961426,0.012505497350023362,True,,sqrt,1,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.25875998044422144,0.27193251906677474,0.42359969451265944,0.32497634189156266,0.4395710397811712,0.3437679151392779,0.07522120446284683,88
1.856515645980835,0.09111214999030101,0.20058560371398926,0.012371624744873157,True,,sqrt,1,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.26732203072839456,0.2660186774688216,0.4253280221309975,0.33243874452390143,0.43379009556055403,0.34497951408253386,0.07316552667593748,80
3.074689245223999,0.11892348736086165,0.31246170997619627,0.05969375880262359,True,,sqrt,1,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.28120867285290474,0.2711462491060991,0.4227183900770607,0.3295551228130539,0.422092032048467,0.34534409337951705,0.0659469358376397,76
1.2786455631256104,0.058857865381861114,0.20467004776000977,0.04282846376432747,True,,sqrt,1,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.2693961743207055,0.3196929322028138,0.42118634211209616,0.3410777233195893,0.4319442378406726,0.35665948195917546,0.061734450694129174,6
2.064558410644531,0.14479991788673904,0.20154924392700196,0.02402145325234539,True,,sqrt,1,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.27547044367848605,0.29969491159012707,0.42272778214138107,0.3489750786498276,0.4305707634507864,0.35548779590212165,0.06279602829496614,12
2.9195587158203127,0.14343154879304304,0.25440397262573244,0.02360912443032689,True,,sqrt,1,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1200}",0.2793314294595549,0.2867062212936198,0.4225575590109061,0.3473467820125651,0.42630732679568095,0.35244986371446535,0.06334759219114432,20
1.2234179496765136,0.056044559409097555,0.15878477096557617,0.027954589690265125,True,,sqrt,2,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.28808425603937904,0.27900993249217765,0.42601598470083835,0.3313922984934755,0.4111996885597867,0.3471404320571315,0.061159368466444826,70
1.8957829475402832,0.08014782229048768,0.18058419227600098,0.01737933359495658,True,,sqrt,2,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.29582194818977015,0.27246543223065567,0.42325252377903744,0.34174765288702447,0.4217125513931713,0.3510000216959318,0.0624797467670269,35
2.933233547210693,0.06478666285570683,0.2592318534851074,0.03354243203030729,True,,sqrt,2,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1200}",0.2950586930512674,0.27263486497022105,0.4205727153049612,0.33864007805748175,0.4156531272861682,0.3485118957340199,0.06068398165972246,60
1.2683696269989013,0.049965696778531944,0.1514615535736084,0.02217922747059748,True,,sqrt,2,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.2892723127516047,0.30385712576007406,0.4221812595418273,0.31895541739018196,0.4169597197685174,0.3502451670424411,0.057400732952128525,46
2.0062124729156494,0.1833583055798241,0.1983968734741211,0.010619847664036983,True,,sqrt,2,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.2908196865415369,0.29379349623393414,0.4170540170903476,0.3324053454103304,0.424491953918423,0.3517128998389144,0.058312390988576046,28
2.7065398693084717,0.10905267564969824,0.24991583824157715,0.015310185826569941,True,,sqrt,2,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1200}",0.29320734649990143,0.2857169457485018,0.4184946964360594,0.33640935738160826,0.41970429650809116,0.3507065285148324,0.058463901000717744,42
1.226350736618042,0.06984133132885559,0.1467966079711914,0.016508581762637867,True,,log2,1,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.25875998044422144,0.27193251906677485,0.42359969451265955,0.32497634189156266,0.4395710397811712,0.34376791513927796,0.07522120446284683,87
1.9316604137420654,0.09815089787980877,0.1914088249206543,0.009468152653391593,True,,log2,1,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.2673220307283952,0.2660186774688218,0.4253280221309975,0.33243874452390165,0.43379009556055403,0.344979514082534,0.07316552667593729,79
2.8681827545166017,0.05289258306529321,0.2634597301483154,0.006977919028480087,True,,log2,1,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.2812086728529052,0.2711462491060994,0.4227183900770608,0.32955512281305355,0.4220920320484671,0.3453440933795172,0.06594693583763962,75
1.2604371070861817,0.1344709694790545,0.14276556968688964,0.011352355878283591,True,,log2,1,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.2693961743207056,0.3196929322028137,0.42118634211209593,0.34107772331958974,0.4319442378406727,0.3566594819591756,0.06173445069412912,5
2.0717429161071776,0.16680082070896168,0.18451662063598634,0.01095195297860963,True,,log2,1,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.27547044367848605,0.2996949115901275,0.4227277821413812,0.3489750786498277,0.4305707634507868,0.3554877959021218,0.06279602829496618,11
2.6973037719726562,0.10437056142796729,0.2593799114227295,0.014680464758727507,True,,log2,1,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1200}",0.27933142945955514,0.28670622129361967,0.4225575590109064,0.34734678201256497,0.42630732679568073,0.3524498637144654,0.0633475921911443,19
1.2205069541931153,0.10987933068729903,0.14134044647216798,0.018967843812949338,True,,log2,2,2,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.28808425603937915,0.27900993249217776,0.42601598470083835,0.3313922984934753,0.4111996885597866,0.34714043205713147,0.06115936846644477,71
1.9976280212402344,0.07332683835049113,0.2004093647003174,0.019672471801585784,True,,log2,2,2,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.2958219481897695,0.2724654322306559,0.4232525237790379,0.3417476528870246,0.42171255139317143,0.35100002169593186,0.06247974676702709,34
2.6765698909759523,0.09162563300579242,0.25908660888671875,0.013773555599139328,True,,log2,2,2,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1200}",0.29505869305126764,0.2726348649702206,0.4205727153049611,0.33864007805748175,0.4156531272861683,0.34851189573401986,0.06068398165972253,62
1.2565435886383056,0.17300446672803044,0.17258358001708984,0.01826557936090903,True,,log2,2,5,500,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.2892723127516047,0.3038571257600745,0.42218125954182706,0.3189554173901822,0.4169597197685174,0.3502451670424412,0.05740073295212837,45
1.9894309520721436,0.08002444126663065,0.1880953311920166,0.014262664778401497,True,,log2,2,5,800,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.2908196865415369,0.29379349623393514,0.41705401709034784,0.33240534541033073,0.42449195391842287,0.3517128998389146,0.05831239098857585,25
2.605176019668579,0.044169628462522356,0.24352517127990722,0.014127413958218751,True,,log2,2,5,1200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1200}",0.2932073464999019,0.28571694574850204,0.4184946964360594,0.3364093573816087,0.41970429650809127,0.35070652851483264,0.058463901000717605,40
1.227635955810547,0.07819044605887905,0.14511528015136718,0.01568366630488849,True,10,sqrt,1,2,500,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.2596548246940661,0.2673288169316408,0.42432890410581214,0.3364530223454969,0.4266500659239877,0.3428831268002007,0.07256316556706477,91
